Einrichtung;Adresse;Internet_Adresse;Kategorie;Y;X;eindeutige_Adresse;Lat;Lon
Kindergarten Kraussstraße;Kraussstraße 8, 4020 Linz;http://portal.linz.gv.at/Serviceguide/viewChapter.html?chapterid=122534;Kindergarten;350422;72053;Kraussstraße 8;48,28796834;14,30348577
Kindergarten Langgasse;Langgasse 13, 4020 Linz;http://portal.linz.gv.at/Serviceguide/viewChapter.html?chapterid=122536;Kindergarten;351589;70990;Langgasse 13;48,2985814;14,28935877
Kindergarten Leonfeldner Straße;Leonfeldner Straße 102a, 4040 Linz;http://portal.linz.gv.at/Serviceguide/viewChapter.html?chapterid=122537;Kindergarten;355082;70951;Leonfeldner Straße 102a;48,32999412;14,28941815
Kindergarten Leonfeldner Straße;Leonfeldner Straße 3a, 4040 Linz;http://portal.linz.gv.at/Serviceguide/viewChapter.html?chapterid=122538;Kindergarten;353755;70419;Leonfeldner Straße 3a;48,31812123;14,28202368
Kindergarten Leonfeldner Straße;Leonfeldner Straße 80b, 4040 Linz;http://portal.linz.gv.at/Serviceguide/viewChapter.html?chapterid=122539;Kindergarten;354859;70767;Leonfeldner Straße 80b;48,32800949;14,28689971
Kindergarten Leonfeldner Straße;Leonfeldner Straße 99d, 4040 Linz;http://portal.linz.gv.at/Serviceguide/viewChapter.html?chapterid=122540;Kindergarten;355164;70691;Leonfeldner Straße 99d;48,33076045;14,28592585
Kindergarten Ludlgasse;Ludlgasse 8a, 4020 Linz;http://portal.linz.gv.at/Serviceguide/viewChapter.html?chapterid=122541;Kindergarten;352867;71607;Ludlgasse 8a;48,3100037;14,29788951
Kindergarten Marienberg;Marienberg 51, 4040 Linz;http://portal.linz.gv.at/Serviceguide/viewChapter.html?chapterid=122542;Kindergarten;356322;71437;Marienberg 51;48,34108939;14,29618097
Kindergarten Minnesängerplatz;Minnesängerplatz 12, 4020 Linz;http://portal.linz.gv.at/Serviceguide/viewChapter.html?chapterid=122543;Kindergarten;350503;70116;Minnesängerplatz 12;48,28891327;14,27740094
Kindergarten Pestalozzistraße;Pestalozzistraße 84, 4020 Linz;http://portal.linz.gv.at/Serviceguide/viewChapter.html?chapterid=122544;Kindergarten;346879;72660;Pestalozzistraße 84;48,25604128;14,31105786
Kindergarten Poschacherstraße;Poschacherstraße 26, 4020 Linz;http://portal.linz.gv.at/Serviceguide/viewChapter.html?chapterid=123049;Kindergarten;350124;72365;Poschacherstraße 26;48,28525335;14,30763865
Kindergarten Posthof;Posthofstraße 50, 4020 Linz;http://portal.linz.gv.at/Serviceguide/viewChapter.html?chapterid=122545;Kindergarten;352982;72609;Posthofstraße 50;48,31092401;14,3114154
Kindergarten Reischekstraße;Reischekstraße 10, 4020 Linz;http://portal.linz.gv.at/Serviceguide/viewChapter.html?chapterid=122547;Kindergarten;352440;71956;Reischekstraße 10;48,30612477;14,30252127
Kindergarten Rieglstraße;Rieglstraße 10, 4040 Linz;http://portal.linz.gv.at/Serviceguide/viewChapter.html?chapterid=122548;Kindergarten;353994;70826;Rieglstraße 10;48,32022501;14,28755059
Kindergarten Rohrmayrstraße;Rohrmayrstraße 1, 4030 Linz;http://portal.linz.gv.at/Serviceguide/viewChapter.html?chapterid=122549;Kindergarten;346391;71456;Rohrmayrstraße 1;48,25178956;14,29476388
Kindergarten Römerstraße;Römerstraße 92, 4020 Linz;http://portal.linz.gv.at/Serviceguide/viewChapter.html?chapterid=122550;Kindergarten;352020;69722;Römerstraße 92;48,30259727;14,27234164
Kindergarten Scharmühlwinkel;Scharmühlwinkel 11, 4030 Linz;http://portal.linz.gv.at/Serviceguide/viewChapter.html?chapterid=122551;Kindergarten;346228;72144;Scharmühlwinkel 11;48,25024628;14,30399941
Kindergarten Schiedermayrweg;Schiedermayrweg 2, 4020 Linz;http://portal.linz.gv.at/Serviceguide/viewChapter.html?chapterid=122552;Kindergarten;351171;70136;Schiedermayrweg 2;48,29491763;14,27778086
Kindergarten Schnitzlerweg;Schnitzlerweg 4, 4020 Linz;http://portal.linz.gv.at/Serviceguide/viewChapter.html?chapterid=122553;Kindergarten;345300;74720;Schnitzlerweg 4;48,24160473;14,3385181
Kindergarten Sennweg (Perotti-Villa);Sennweg 41,4030 Linz;http://portal.linz.gv.at/Serviceguide/viewChapter.html?chapterid=122554;Kindergarten;344698;73781;Sennweg 41;48,23630116;14,32577365
Kindergarten solarCity;Neufelderstraße 125, 4030 Linz;http://portal.linz.gv.at/Serviceguide/viewChapter.html?chapterid=122573;Kindergarten;346721;76076;Neufelderstraße 125;48,25422138;14,35702559
Kindergarten Tungassingerstraße;Tungassingerstraße 13, 4020 Linz;http://portal.linz.gv.at/Serviceguide/viewChapter.html?chapterid=122556;Kindergarten;348928;72055;Tungassingerstraße 13;48,27453435;14,30325907
Kindergarten Webergasse;Webergasse 5, 4040 Linz;http://portal.linz.gv.at/Serviceguide/viewChapter.html?chapterid=122557;Kindergarten;352711;70178;Webergasse 5;48,30876044;14,27860173
Kindergarten Wieningerstraße;Wieningerstraße 16, 4020 Linz;http://portal.linz.gv.at/Serviceguide/viewChapter.html?chapterid=122558;Kindergarten;348017;70487;Wieningerstraße 16;48,26651844;14,28198695
Kindergarten Ziererfeldstraße;Ziererfeldstraße 50, 4030 Linz;http://portal.linz.gv.at/Serviceguide/viewChapter.html?chapterid=122559;Kindergarten;346486;76708;Ziererfeldstraße 50;48,25203246;14,36549263
Kindergruppe Brüderchen und Schwesterchen;Brucknerstraße 15, 4040 Linz;www.kramminger.at.tf;Kindergarten;350348;71578;Brucknerstraße 15;48,28735661;14,29707339
Kindergruppe Kunterbunt;Pulvermühlstraße 6, 4040 Linz;http://www.ooen.at/kunterbunt/;Kindergarten;354882;72011;Pulvermühlstraße 6;48,32807641;14,30367772
Kindergruppe Purzelbaum;Büchlholzweg 18, 4040 Linz;www.kinder.liwest.at/purzelbaum;Kindergarten;354715;69818;Büchlholzweg 18;48,32681974;14,27407956
Kindergruppe Rasselbande;Römerstraße 47b, 4020 Linz;http://www.rasselbande-linz.org;Kindergarten;352062;69993;Römerstraße 47b;48,30294514;14,27600095
Pfarrcaritas-Kindergarten;Hölderlinstraße 24, 4040 Linz;;Kindergarten;354165;70135;Hölderlinstraße 24;48,32183931;14,27826283
Pfarrcaritas-Kindergarten Christkönig;Peuerbachstraße 14, 4040 Linz;http://www.dioezese-linz.at/pfarren/linz-christkoenig/;Kindergarten;353641;70662;Peuerbachstraße 14;48,31706918;14,28528065
Pfarrcaritas-Kindergarten St. Konrad;Händelstraße 30, 4020 Linz;;Kindergarten;350561;69874;Händelstraße 30;48,28946144;14,27414983
Pfarrcaritas-Kindergarten Herz Jesu;Breitwiesergutstraße 45a, 4020 Linz;;Kindergarten;349932;71342;Breitwiesergutstraße 45a;48,28364253;14,29382375
Pfarrcaritas-Kindergarten Herz Jesu;Pillweinstraße 11, 4020 Linz;;Kindergarten;350480;71614;Pillweinstraße 11;48,28853948;14,29758071
Pfarrcaritas-Kindergarten Schwalbennest;Blütenstraße 15, 4040 Linz;;Kindergarten;353342;70498;Blütenstraße 15;48,31439885;14,28301999
Pfarrcaritas-Kindergarten St. Peter;Tungassingerstraße 21, 4020 Linz;http://www.dioezese-linz.at/pfarren/linz%2Dstpeter/;Kindergarten;348806;71917;Tungassingerstraße 21;48,27345296;14,30137956
Pfarrcaritas-Kindergarten Guter Hirte;Am Steinbühel 29, 4030 Linz;http://www.dioezese-linz.at/pfarren/linz-guterhirte/;Kindergarten;346691;71043;Am Steinbühel 29;48,25453336;14,28925339
Pfarrcaritas-Kindergarten Hl. Dreifaltigkeit;Wieningerstraße 14, 4020 Linz;http://www.dioezese-linz.at/pfarren/linz-dreifaltigkeit/kindergarten/;Kindergarten;348030;70460;Wieningerstraße 14;48,26663832;14,28162548
Pfarrcaritas-Kindergarten Hl. Familie;Schubertstraße 5, 4020 Linz;http://www.dioezese-linz.at/pfarren/linz-hlfamilie/;Kindergarten;351746;71465;Schubertstraße 5;48,29993988;14,29578646
Pfarrcaritas-Kindergarten Hl. Geist;Schumpeterstraße 1, 4040 Linz;;Kindergarten;355314;72944;Schumpeterstraße 1;48,33185431;14,31633271
Pfarrcaritas-Kindergarten St. Berthold;Aubrunnerweg 11, 4040 Linz;;Kindergarten;355628;73332;Aubrunnerweg 11;48,33463299;14,32161927
Pfarrcaritas-Kindergarten St. Franziskus;Neubauzeile 68, 4030 Linz;http://www.dioezese-linz.at/pfarren/linz%2Dstfranziskus/;Kindergarten;345770;70669;Neubauzeile 68;48,24629344;14,2840645
Pfarrcaritas-Kindergarten St. Leopold;Landgutstraße 31a, 4040 Linz;http://www.dioezese-linz.at/pfarren/linz-stleopold/Kinder%20u.%20Jugend/Kindergarten.htm;Kindergarten;353177;69857;Landgutstraße 31a;48,31298601;14,27435178
Pfarrcaritas-Kindergarten St. Margarethen;St. Margarethen 47a, 4020 Linz;;Kindergarten;352567;68282;St, Margarethen 47;48,3076722;14,25302218
Pfarrcaritas-Kindergarten St. Michael;Uhlandgasse 3, 4020 Linz;;Kindergarten;348742;71180;Uhlandgasse 3;48,27296039;14,29144169
Pfarrcaritas-Kindergarten St. Paul;Falterweg 35, 4030 Linz;http://www.kirche-pichling.at/index.php?id=359;Kindergarten;346253;76664;Falterweg 35;48,2499427;14,36485819
Pfarrcaritas-Kindergarten St. Quirinius;Dauphinestraße 56a, 4030 Linz;;Kindergarten;346650;72705;Dauphinestraße 56a;48,25397701;14,31162461
Pfarrcaritas-Kindergarten St. Theresia;Losensteinerstraße 1, 4020 Linz;http://www.dioezese-linz.at/pfarren/linz-sttheresia/index.php?page=13;Kindergarten;349072;70316;Losensteinerstraße 1;48,2760238;14,27985862
Pfarrkindergarten St. Antonius;Salzburger Straße 22, 4020 Linz;;Kindergarten;348825;72683;Salzburger Straße 22;48,27353673;14,31170053
Übungskindergarten der Kreuzschwestern;Kroatengasse 9/Stockhofstraße 10, 4020 Linz;http://www.kigalinz.kreuzschwestern.at/inhalt/index.html;Kindergarten;351397;70654;Kroatengasse 9;48,29689242;14,28479874
Waldorf-Kindergarten Linz-Nord;Hölderlinstrasse 23, 4040 Linz;http://www.waldorfkindergarten-linz.at/;Kindergarten;354150;70119;Hölderlinstrasse 23;48,32170619;14,27804463
Waldorf-Kindergarten Linz-Süd;Gutenbergstraße 3, 4030 Linz;http://linz-sued.waldorfkindergarten.at/;Kindergarten;347382;73218;Gutenbergstraße 3;48,26050021;14,318658
