HALTESTELLENNAME;ZUGEHOERIGKEIT;Linien die Haltestelle bedienen;Fahrrichtung;X;Y
Eisenhof;LINZ Linien;L027;Fernheizkraftwerk;72632;353445
Eisenhof;LINZ Linien;L027;Chemiepark;72632;353445
Eisenwerkstra�e;LINZ Linien;L025;Karlhof;72190;349147
Eisenwerkstra�e;LINZ Linien;L025;Oed;72190;349147
Enenkelstra�e;LINZ Linien;L011, L019;Pichlinger See;72206;346600
Enenkelstra�e;LINZ Linien;L011, L019;Meixnerkreuzung;72206;346600
Ennsfeld;LINZ Linien;L002;solarCity;74659;345459
Ennsfeld;LINZ Linien;L002;Universit�t;74659;345459
Esterbachbr�cke;LINZ Linien;L033;Riesenhof;74553;354718
Esterbachbr�cke;LINZ Linien;L033;Pleschinger See;74553;354718
Europaplatz;LINZ Linien;L025;Oed;72000;351649
Europaplatz;LINZ Linien;L012, L017, L019, L077;Auwiesen, Hitzing, Pichlinger See, Hauptbahnhof;72000;351649
Europaplatz;LINZ Linien;L017, L019, L073, L077;Fernheizkraftwerk, Universit�t Nord;72000;351649
Europaplatz;LINZ Linien;L012, L025;Karlhof;72000;351649
Europastra�e;LINZ Linien;L025;Karlhof;70518;347799
Europastra�e;LINZ Linien;L025;Oed;70518;347799
Fa. Plasser;LINZ Linien;L017, L073;Hitzing, Baintwiese;73307;352502
Fa. Plasser;LINZ Linien;L017;Fernheizkraftwerk;73307;352502
Fadingerstra�e;LINZ Linien;L045, L046, L073;Froschberg, Baintwiese;71336;351951
Falterweg;LINZ Linien;L011, L019;Pichlinger See;76256;346399
Falterweg;LINZ Linien;L011, L019;Meixnerkreuzung;76256;346399
Ferdinand Markl Stra�e;LINZ Linien;L001, L002;Universit�t;71483;355549
Ferdinand Markl Stra�e;LINZ Linien;L001, L002;Auwiesen, solarCity;71483;355549
Fernheizkraftwerk;LINZ Linien;L017, L027, L073;Endhaltestelle;73468;351627
Fernheizkraftwerk;LINZ Linien;L019;Pichlinger See;73468;351627
Florianer Stra�e;LINZ Linien;L011, L019;Pichlinger See;74250;345515
Florianer Stra�e;LINZ Linien;L104;Waldesruh;74250;345515
Florianer Stra�e;LINZ Linien;L011, L019;Meixnerkreuzung;74250;345515
Florianer Stra�e;LINZ Linien;L104;Sennweg;74250;345515
Fl�tzerweg;LINZ Linien;L011, L019;Pichlinger See;72488;346603
Fl�tzerweg;LINZ Linien;L011, L019;Meixnerkreuzung;72488;346603
FMA;LINZ Linien;L018;VOEST Alpine;74797;348228
FMA;LINZ Linien;L018;Simonystra�e;74797;348228
Frachtenbahnhof;LINZ Linien;L027;Fernheizkraftwerk;72199;350954
Frachtenbahnhof;LINZ Linien;L027;Chemiepark;72199;350954
Franckstra�e;LINZ Linien;L025;Karlhof;72322;351389
Franckstra�e;LINZ Linien;L025, L027;Chemiepark;72322;351389
Franckstra�e;LINZ Linien;L027;Fernheizkraftwerk;72322;351389
Franzosenhausweg;LINZ Linien;L071;Baintwiese;71399;345893
Franzosenhausweg;LINZ Linien;L073;Fernheizkraftwerk;71399;345893
Freinberg;LINZ Linien;L026;Stadion;69364;351556
