Flaeche;BaumNr;Gattung;Art;Sorte;NameDeutsch;Hoehe;Schirmdurchmesser;Stammumfang;Typ;XPos;YPos;lon;lat
0;0;ZumTesten;0;0;20190205;0;0;0;0;70000;350000;14,2757549011314;48,2844031941042
870;021a;Quercus;sp.; -;Eiche;6;3;31;L;72431;354949;14,3093549528352;48,3286271802142
572;127;Liriodendron;tulipifera; -;Tulpenbaum;5;2;21;L;71171;353742;14,2921648325343;48,3179178510249
252;010a;Acer;platanoides; -;Spitz-Ahorn;7;2;31;L;73269;355814;14,3208008403556;48,3363133180099
1284;011;Prunus;armeniaca;Bergeron;Marille - Bergeron;1;1;6;L;70378;352703;14,2812970577991;48,3086702202435
7;170;Acer;platanoides; -;Spitz-Ahorn;8;3;42;L;73294;355815;14,3211363537811;48,3363151899086
792;094;Ulmus;glabra; -;Berg-Ulme;8;6;55;L;70010;351920;14,2762000379419;48,3016692810869
7;167;Fraxinus;excelsior; -;Gemeine Esche;7;2;27;L;73294;355771;14,3211342411936;48,3359221855984
708;012a;Tilia;cordata; -;Winter-Linde;5;3;25;L;71139;351492;14,2913503578499;48,2976925965220
492;026a;Tilia;sp.;-;Linde;5;1;25;L;69367;351564;14,2674824490856;48,2985358836292
1368;010a;Tilia;cordata; -;Winter-Linde;4;2;15;L;70541;349915;14,2830294441903;48,2835790981751
1368;011a;Tilia;cordata; -;Winter-Linde;3;2;15;L;70557;349931;14,2832476621149;48,2837211928219
673;037a;Pinus;nigra;austriaca;÷sterreichische Schwarz-Kiefer;2;1;12;N;71480;355562;14,2966324320294;48,3342508787131
673;027a;Betula;pendula; -;Weiﬂ-Birke;4;1;10;L;71530;355572;14,2973047629846;48,3343312568969
713;008a;Acer;platanoides; -;Spitz-Ahorn;4;2;17;L;70673;350089;14,2848367729154;48,2851290243443
878;009a;Tilia;euchlora; -;Krim-Linde;5;2;30;L;72206;349162;14,3053327226633;48,2766213666570
878;010a;Tilia;euchlora; -;Krim-Linde;5;2;30;L;72206;349170;14,3053401646096;48,2766905730437
647;003a;Acer;cappadocicum;Rubrum;Kolchischer Blut-Ahorn;5;2;20;L;71744;356003;14,3002664788187;48,3381842176433
628;044b;Prunus;serrulata;Amanogawa;Japan. S‰ulen-Kirsche  (rosa halbgef¸llt);3;1;16;L;71907;355579;14,3023901126276;48,3343550900166
634;007a;Abies;nordmanniana; -;Nordmannstanne;2;2;15;N;72724;355504;14,3133985591708;48,3335880395053
309;016;Betula;pendula; -;Weiﬂ-Birke;9;5;89;L;72781;351461;14,3134708977824;48,2972278822270
149;005;Tilia;cordata; -;Winter-Linde;10;4;100;L;72328;349354;14,3070134257581;48,2783331242850
15;020a;Prunus;cerasus;Morellenfeuer;Fruchtweichsel -  Morellenfeuer;2;1;6;L;72932;355777;14,3162459248134;48,3360144836292
680;038a;Liriodendron;tulipifera; -;Tulpenbaum;4;2;18;L;71938;355196;14,3027466446930;48,3309081581568
870;010a;Quercus;robur; -;Stiel-Eiche;6;1;21;L;72366;354919;14,3084742683086;48,3283714475493
572;020;Fagus;sylvatica; -;Rotbuche;8;8;110;L;71148;353792;14,2918632162631;48,3183730616298
675;006;Malus;domestica;Roter Jungfernapfel;Kulturapfel - Roter Junfernapfel;4;1;12;L;70599;355655;14,2847670489666;48,3351857174595
878;023;Fagus;sylvatica; -;Rotbuche;15;6;260;L;72140;349191;14,3044450058827;48,2768935866157
878;024;Picea;sp.; -;Fichte;4;2;30;N;72153;349186;14,3046247692780;48,2768439213452
683;005a;Carpinus;betulus;Fastigiata;S‰ulen-Hainbuche;4;1;14;L;72041;355477;14,3041834038166;48,3334231540068
249;041;Abies;nordmanniana; -;Nordmannstanne;12;5;87;N;73268;355890;14,3208082226208;48,3369999047859
249;046;Abies; alba; -;Weiﬂ-Tanne;13;5;134;N;73266;355899;14,3207760361179;48,3370774187763
7;087;Celtis;australis; -;S¸dlicher Z¸rgelbaum;5;3;45;L;73376;355915;14,3222568980762;48,3372112993544
7;090;Carpinus;betulus;Pendula;H‰nge-Hainbuche;10;6;72;L;73381;355905;14,3223287682802;48,3371170418182
572;126;Liriodendron;tulipifera; -;Tulpenbaum;5;2;28;L;71165;353733;14,2920787266509;48,3178358435182
309;010;Quercus;robur; -;Stiel-Eiche;12;7;145;L;72817;351433;14,3139529178697;48,2969720314873
309;013;Robinia;pseudoacacia; -;Robinie;12;11;270;L;72790;351427;14,3135903854374;48,2969183939821
7;135;Abies;nordmanniana; -;Nordmannstanne;19;6;87;N;73338;355802;14,3217276846095;48,3361978935244
309;005;Acer;platanoides; -;Spitz-Ahorn;10;9;184;L;72825;351428;14,3140598653067;48,2969261559611
309;012;Robinia;pseudoacacia; -;Robinie;10;6;120;L;72792;351419;14,3136140468335;48,2968526716805
157;010;Crataegus;coccinea; -;Scharlach-Weiﬂdorn;4;3;20;L;72460;348990;14,3087248572948;48,2750458860117
7;088;Aesculus;hippocastanum; -;Gemeine Rosskastanie;7;6;60;L;73390;355908;14,3224436127174;48,3371419170794
7;089;Celtis;sp.; -;Z¸rgelbaum;4;3;48;L;73392;355901;14,3224720222532;48,3370828853280
249;052;Cercidiphyllum;japonicum; -;Kuchenbaum;10;5;92;L;73274;355924;14,3208860571055;48,3372974585197
7;136;Abies;nordmanniana; -;Nordmannstanne;20;6;123;N;73336;355816;14,3216993838225;48,3363198060658
7;151;Picea;abies; -;Gemeine Fichte;12;6;72;N;73307;355802;14,3213176218677;48,3362002169497
7;153;Quercus;cerris; -;Zerr-Eiche;12;7;60;L;73292;355794;14,3211067849861;48,3361343198482
7;154;Corylus;colurna; -;Baumhasel;10;4;54;L;73300;355797;14,3212160493081;48,3361585005455
4;085;Ginkgo;biloba; -;Ginkgo;8;6;72;L;73377;355934;14,3222772523190;48,3373761107939
816;118;Acer;sp.; -;Ahorn;6;1;20;L;76452;347383;14,3622073612174;48,2601307268943
199;064a;Quercus;robur;Fastigiata;S‰ulen-Eiche;3;1;10;L;72549;349422;14,3099975186395;48,2789201994806
152;009a;Liriodendron;tulipifera; -;Tulpenbaum;3;3;30;L;71840;350046;14,3005462319583;48,2846101507914
105;017a;Acer;platanoides; -;Spitz-Ahorn;3;2;10;L;71419;349992;14,2948766078978;48,2841744301072
162;007a;Aesculus;carnea;Briotii;Scharlach- Kastanie;4;4;20;L;71724;348552;14,2987383597500;48,2711911717375
1368;009a;Tilia;cordata; -;Winter-Linde;3;2;20;L;70514;349884;14,2826605395932;48,2833033450266
756;002a;Carpinus;betulus;Fastigiata;S‰ulen-Hainbuche;5;1;23;L;70333;349667;14,2801860931352;48,2813721540044
7;129;Picea;sp.; -;Fichte;18;5;73;N;73350;355816;14,3218918734839;48,3363241753489
7;131;Picea;sp.; -;Fichte;6;4;62;N;73338;355811;14,3217354072891;48,3362745315535
312;014a;Aesculus;carnea;Briotii;Scharlach- Kastanie;4;1;15;L;71667;352089;14,2985666120179;48,3030013780484
173;024;Tilia;cordata; -;Winter-Linde;10;5;120;L;70343;348395;14,2801167273790;48,2699318281861
249;047;Abies; alba; -;Weiﬂ-Tanne;11;5;117;N;73269;355905;14,3208145468129;48,3371288792086
831;011;Acer;platanoides;Globosum;Kugel-Ahorn;3;1;13;L;71300;346103;14,2926150969569;48,2492174473337
7;109;Cercidiphyllum;japonicum; -;Kuchenbaum;7;6;60;L;73406;355896;14,3226603910113;48,3370299092352
12;017a;Aesculus;carnea;Plantierensis;Hellrote Rosskastanie;4;1;21;L;72699;355735;14,3131018216875;48,3356641149918
606;010a;Crataegus;lavallei; -;Lederbl‰ttrige Weiﬂdorn;5;2;20;L;70177;353523;14,2787226240797;48,3160619760635
7;116;Tilia;cordata; -;Winter-Linde;15;6;78;L;73376;355847;14,3222540367116;48,3365948893017
7;117;Picea;abies; -;Gemeine Fichte;10;4;72;N;73379;355841;14,3222962402446;48,3365407792415
252;018;Tilia;cordata; -;Winter-Linde;13;7;134;L;73255;355822;14,3206143717399;48,3363895829476
249;034;Picea;omorika; -;Serbische Fichte;8;4;77;N;73276;355877;14,3209020850993;48,3368773991759
7;121;Picea;abies; -;Gemeine Fichte;5;2;70;N;73374;355820;14,3222230877542;48,3363535991659
1189;017a;Ulmus;sp.; -;Ulme;5;2;30;L;76461;347595;14,3623703648981;48,2620333541046
1035;032;Fraxinus;excelsior; -;Gemeine Esche;10;6;60;L;70688;356044;14,2860304698045;48,3386722099714
7;171;Sequoiadendron;giganteum; -;Riesenmammutbaum;18;5;150;N;73281;355818;14,3209688601167;48,3363469456841
506;030;Quercus;robur; -;Stiel-Eiche;6;1;35;L;70330;352058;14,2805435289664;48,3028706321071
1189;022;Gleditsia;sp.; -;Gleditschie;7;3;27;L;76489;347627;14,3627557439857;48,2623175147393
7;093;Sequoiadendron;giganteum; -;Riesenmammutbaum;1;4;140;N;73365;355914;14,3221165102711;48,3372035800049
7;105;Abies; alba; -;Weiﬂ-Tanne;6;3;52;N;73362;355867;14,3220654478408;48,3367819338639
7;098;Carpinus;betulus;Pendula;H‰nge-Hainbuche;6;3;49;L;73331;355920;14,3216562856196;48,3372587361965
1396;022;Quercus;robur; -;Stiel-Eiche;14;4;115;L;74697;345234;14,3381967933062;48,2410140335202
301;026;Malus;sp.; -;Apfel;4;2;30;L;73796;344676;14,3259752427088;48,2361046782061
2;345b;Thuja;occidentalis; -;Abendl‰ndischer Lebensbaum;2;1;4;N;73091;355922;14,3184197428371;48,3373004592316
7;159;Tilia;cordata; -;Winter-Linde;10;4;51;L;73291;355800;14,3210995135362;48,3361846232326
7;160;Tilia;cordata; -;Winter-Linde;5;2;21;L;73288;355792;14,3210604053224;48,3361106333717
7;162;Abies;nordmanniana; -;Nordmannstanne;17;6;89;N;73283;355787;14,3209804529565;48,3360687316167
7;164;Gymnocladus;dioicus; -;Geweihbaum;4;2;27;L;73295;355780;14,3211465247678;48,3360040598974
7;165;Gymnocladus;dioicus; -;Geweihbaum;4;2;27;L;73295;355777;14,3211460050972;48,3359770848513
7;166;Picea;sp.; -;Fichte;10;4;62;N;73286;355773;14,3210240112623;48,3359459532220
1189;018b;Alnus;sp.; -;Erle;5;3;41;L;76485;347593;14,3626943436447;48,2620131084077
339;028a;Betula;pendula; -;Weiﬂ-Birke;5;2;12;L;72688;351653;14,3122522570009;48,2989649880047
1284;006;Pyrus;communis;Bosc' s Flaschenbirne;Kulturbirne - Bosc's Flaschenbirne;2;1;7;L;70375;352695;14,2812535010789;48,3085981864957
207;019;Betula;pendula; -;Weiﬂ-Birke;16;7;140;L;72377;348570;14,3075329250935;48,2712790908237
207;020;Betula;pendula; -;Weiﬂ-Birke;14;6;140;L;72373;348573;14,3074832967927;48,2713100590499
206;003;Betula;pendula; -;Weiﬂ-Birke;12;5;100;L;71745;349255;14,2991427297090;48,2775130169822
206;004;Betula;pendula; -;Weiﬂ-Birke;12;6;120;L;71752;349258;14,2992303699496;48,2775374781307
206;005;Crataegus;laevigata; -;Zweigriffliger Weiﬂdorn;6;3;50;L;71756;349277;14,2992904498597;48,2777063594616
206;006;Ailanthus;altissima; -;Gˆtterbaum;10;6;120;L;71734;349276;14,2989871799089;48,2776966342478
206;016;Malus;Zierform; -;Zier-Apfel;5;5;50;L;71724;349224;14,2988542833392;48,2772375174960
206;018;Magnolia;kobus; -;Baum-Magnolie (weiﬂ);8;8;100;L;71725;349218;14,2988614772335;48,2771754132204
206;020;Crataegus;laevigata; -;Zweigriffliger Weiﬂdorn;6;8;120;L;71732;349209;14,2989553950406;48,2771015614123
206;021;Malus;Zierform; -;Zier-Apfel;4;4;90;L;71733;349244;14,2989721585975;48,2774133462479
206;022;Acer;platanoides; -;Spitz-Ahorn;10;7;100;L;71756;349227;14,2992862588198;48,2772588844483
206;023;Acer;pseudoplatanus; -;Berg-Ahorn;8;8;120;L;71760;349233;14,2993427370661;48,2773128954695
159;002;Tilia;cordata; -;Winter-Linde;15;6;200;L;72042;348804;14,3030659834536;48,2734186047147
159;003;Tilia;cordata; -;Winter-Linde;13;5;160;L;72035;348805;14,3029689944064;48,2734346155879
159;004;Chamaecyparis;sp.; -;Scheinzypresse;4;3;60;N;72040;348808;14,3030338656803;48,2734607072444
159;005;Chamaecyparis;sp.; -;Scheinzypresse;6;2;100;N;72044;348811;14,3030958017353;48,2734810378770
159;006;Pinus;nigra;austriaca;÷sterreichische Schwarz-Kiefer;15;5;150;N;72042;348817;14,3030617917575;48,2735385574819
159;007;Gleditsia;triacanthos; -;Christusdorn;4;2;40;L;72013;348797;14,3026643905534;48,2733573137537
159;008;Tilia;cordata; -;Winter-Linde;14;6;200;L;72003;348788;14,3025412056832;48,2732813252973
159;009;Tilia;cordata; -;Winter-Linde;14;5;160;L;71995;348781;14,3024199009046;48,2732196715316
159;011;Tilia;cordata; -;Winter-Linde;16;6;200;L;71983;348774;14,3022575309283;48,2731589718176
159;012;Picea;abies; -;Gemeine Fichte;6;5;80;N;71986;348783;14,3023079137320;48,2732343041256
141;031;Ginkgo;biloba; -;Ginkgo;7;5;40;L;72105;349867;14,3040856223381;48,2829718122458
149;003;Tilia;cordata; -;Winter-Linde;10;4;100;L;72316;349370;14,3068440879514;48,2784752443900
149;004;Tilia;cordata; -;Winter-Linde;10;3;100;L;72322;349361;14,3069337242776;48,2783986750519
149;009;Tilia;cordata; -;Winter-Linde;8;4;100;L;72353;349328;14,3073476605868;48,2780981377829
149;010;Tilia;cordata; -;Winter-Linde;10;4;100;L;72359;349323;14,3074160722986;48,2780537834346
5089;011;Acer;pseudoplatanus; -;Berg-Ahorn;12;6;250;L;72322;349342;14,3069326731644;48,2782282126726
5089;012;Betula;pendula; -;Weiﬂ-Birke;14;5;120;L;72313;349357;14,3068085304451;48,2783581404956
5089;014;Betula;pendula; -;Weiﬂ-Birke;12;3;120;L;72309;349349;14,3067586602901;48,2782937538572
5089;015;Betula;pendula; -;Weiﬂ-Birke;16;5;10;L;72312;349345;14,3067917632411;48,2782548245382
5089;016;Populus;nigra; -;Schwarz-Pappel;17;5;150;L;72262;349357;14,3061160979813;48,2783658383626
5089;017;Betula;pendula; -;Weiﬂ-Birke;12;5;130;L;72255;349358;14,3060318997766;48,2783766612957
5089;020;Pinus;nigra;austriaca;÷sterreichische Schwarz-Kiefer;15;5;170;N;72267;349353;14,3061926266470;48,2783320536042
5089;023;Pinus;nigra;austriaca;÷sterreichische Schwarz-Kiefer;14;5;150;N;72253;349347;14,3060003561616;48,2782750272832
5089;026;Tsuga;canadensis; -;Kanadische Hemlocktanne;6;4;120;N;72240;349357;14,3058239022985;48,2783709094070
5089;027;Tsuga;canadensis; -;Kanadische Hemlocktanne;6;6;80;N;72233;349361;14,3057302866094;48,2784076718086
5089;028;Pinus;nigra;austriaca;÷sterreichische Schwarz-Kiefer;12;4;150;N;72233;349352;14,3057344247580;48,2783258053783
5089;029;Pinus;nigra;austriaca;÷sterreichische Schwarz-Kiefer;13;4;160;N;72236;349358;14,3057751627513;48,2783841802861
5089;032;Sorbus;aucuparia; -;Eberesche;6;4;80;L;72198;349380;14,3052569906661;48,2785804513603
5089;034;Tsuga;canadensis; -;Kanadische Hemlocktanne;6;5;80;N;72215;349363;14,3054866691189;48,2784256302027
152;003;Quercus;robur; -;Stiel-Eiche;5;5;80;L;71825;350021;14,3003443743837;48,2843929612431
152;004;Malus;Zierform; -;Zier-Apfel;3;3;50;L;71822;350027;14,3003049307456;48,2844394478896
152;006;Malus;Zierform; -;Zier-Apfel;4;3;50;L;71825;350025;14,3003477181687;48,2844229575050
152;008;Malus;Zierform; -;Zier-Apfel;4;4;50;L;71822;350039;14,3003116696592;48,2845551137466
152;010;Acer;pseudoplatanus; -;Berg-Ahorn;16;14;300;L;71821;350045;14,3002926744613;48,2846044735177
152;012;Betula;pendula; -;Weiﬂ-Birke;10;6;100;L;71812;350064;14,3001846387545;48,2847756559387
152;013;Acer;pseudoplatanus; -;Berg-Ahorn;18;16;300;L;71819;350069;14,3002724324630;48,2848187665972
152;015;Abies; alba; -;Weiﬂ-Tanne;10;4;50;N;71851;350073;14,3007049277160;48,2848531243225
152;016;Abies; alba; -;Weiﬂ-Tanne;10;4;60;N;71853;350072;14,3007376800141;48,2848424394483
202;003;Tilia;sp.;-;Linde;15;10;250;L;70250;348979;14,2789490402762;48,2751928713804
202;006;Tilia;sp.;-;Linde;15;16;220;L;70249;348992;14,2789427649498;48,2753119170561
202;009;Tilia;sp.;-;Linde;18;15;260;L;70245;349004;14,2788849124686;48,2754170385650
202;014;Betula;pendula; -;Weiﬂ-Birke;16;15;170;L;70230;349040;14,2786989235077;48,2757476738796
202;016;Magnolia;kobus; -;Baum-Magnolie (weiﬂ);8;15;170;L;70203;349022;14,2783283659239;48,2755829539331
202;017;Malus;sp.; -;Apfel;7;11;120;L;70175;349001;14,2779502933849;48,2754001103574
202;018;Sorbus;aucuparia; -;Eberesche;6;8;370;L;70176;348980;14,2779624289154;48,2752159687117
202;020;Betula;utilis; -;Himalaja-Birke;8;12;290;L;70171;348973;14,2778892612292;48,2751481912062
202;021;Betula;utilis; -;Himalaja-Birke;7;10;260;L;70172;348970;14,2779019226701;48,2751225949365
202;022;Larix;decidua; -;Europ‰ische L‰rche;12;10;90;N;70177;348966;14,2779686123818;48,2750860757412
202;024;Betula;nigra; -;Schwarz-Birke;8;6;95;L;70183;348955;14,2780463606184;48,2749909746962
202;025;Betula;nigra; -;Schwarz-Birke;9;12;90;L;70188;348952;14,2781176169409;48,2749605071833
202;026;Betula;pendula;Fastigiata;S‰ulen-Birke;5;4;30;L;70192;348946;14,2781631726843;48,2749007504569
202;028;Pinus;nigra;austriaca;÷sterreichische Schwarz-Kiefer;6;6;100;N;70200;348937;14,2782676745197;48,2748195499448
202;029;Pinus;nigra;austriaca;÷sterreichische Schwarz-Kiefer;7;8;100;N;70203;348940;14,2783112537458;48,2748461726187
202;031;Betula;pendula; -;Weiﬂ-Birke;10;10;90;L;70211;348946;14,2784175154181;48,2749034254362
202;032;Betula;pendula; -;Weiﬂ-Birke;10;8;90;L;70214;348951;14,2784645275837;48,2749471141137
202;033;Betula;utilis; -;Himalaja-Birke;8;9;350;L;70217;348954;14,2785086236177;48,2749775991047
136;001;Ailanthus;altissima; -;Gˆtterbaum;14;16;250;L;70351;348839;14,2802921960236;48,2739210115693
136;002;Acer;platanoides; -;Spitz-Ahorn;12;10;100;L;70355;348845;14,2803407699939;48,2739768814148
136;005;Catalpa;bignonioides; -;Trompetenbaum;16;16;180;L;70341;348868;14,2801614818842;48,2741867555912
136;009;Juglans;regia; -;Walnuss;6;6;50;L;70348;348874;14,2802565997837;48,2742366623803
808;005a;Picea;sp.; -;Fichte;4;3;64;N;71416;346111;14,2941803471666;48,2492730197613
1119;002a;Crataegus;lavallei; -;Lederbl‰ttrige Weiﬂdorn;5;1;21;L;70862;346399;14,2867674978958;48,2519279568518
831;015a;Acer;platanoides;Globosum;Kugel-Ahorn;3;1;13;L;71313;346111;14,2927914616863;48,2492879263486
831;014a;Acer;platanoides;Globosum;Kugel-Ahorn;3;1;15;L;71308;346115;14,2927248159414;48,2493244540091
1284;004;Prunus;domestica;Hauszwetschke;Fruchtzwetschke - Hauszwetschke;2;1;6;L;70364;352685;14,2811051719824;48,3085052391330
136;011;Acer;pseudoplatanus; -;Berg-Ahorn;6;10;110;L;70331;348891;14,2800241395443;48,2743944303142
136;012;Abies; alba; -;Weiﬂ-Tanne;5;2;40;N;70334;348898;14,2800702568251;48,2744563393537
136;014;Betula;utilis; -;Himalaja-Birke;4;4;45;L;70328;348916;14,2799943231904;48,2746198036695
136;015;Acer;pseudoplatanus; -;Berg-Ahorn;12;14;200;L;70320;348902;14,2798779078064;48,2744951511570
136;016;Acer;platanoides; -;Spitz-Ahorn;10;12;140;L;70310;348915;14,2797526567493;48,2746165199450
155;021;Fagus;sylvatica; -;Rotbuche;13;5;130;L;70664;347949;14,2843529845844;48,2658859792701
188;001;Robinia;pseudoacacia; -;Robinie;8;5;60;L;70134;349284;14,2774361829555;48,2779529637077
188;002;Robinia;pseudoacacia; -;Robinie;8;6;100;L;70126;349277;14,2773330020191;48,2778881787109
188;004;Tilia;cordata; -;Winter-Linde;7;6;70;L;70109;349255;14,2770980651186;48,2776883835045
188;005;Tilia;cordata; -;Winter-Linde;8;5;80;L;70100;349243;14,2769758695158;48,2775886731136
188;006;Tilia;cordata; -;Winter-Linde;7;4;60;L;70091;349232;14,2768580299992;48,2774835029063
188;008;Quercus;robur;Fastigiata;S‰ulen-Eiche;8;3;50;L;70062;349218;14,2764553853983;48,2773674343399
188;010;Quercus;robur;Fastigiata;S‰ulen-Eiche;7;3;40;L;70069;349227;14,2765569087001;48,2774448663771
1284;008;Malus;domestica;Gravensteiner;Kulturapfel - Gravensteiner;2;1;6;L;70388;352700;14,2814270048372;48,3086412803240
173;001;Tilia;cordata; -;Winter-Linde;8;5;90;L;70476;348470;14,2819079983657;48,2705945771635
173;003;Tilia;cordata; -;Winter-Linde;8;5;70;L;70462;348463;14,2817241403089;48,2705316493209
173;004;Betula;utilis; -;Himalaja-Birke;8;5;90;L;70456;348460;14,2816428289643;48,2705053381928
173;005;Betula;utilis; -;Himalaja-Birke;8;5;100;L;70451;348458;14,2815809818585;48,2704899422550
173;006;Betula;utilis; -;Himalaja-Birke;8;5;100;L;70446;348455;14,2815061174977;48,2704635780215
173;007;Corylus;colurna; -;Baumhasel;7;4;90;L;70438;348451;14,2813921971270;48,2704255672242
173;009;Tilia;cordata; -;Winter-Linde;10;5;100;L;70427;348445;14,2812497423876;48,2703736709748
173;011;Corylus;colurna; -;Baumhasel;12;5;100;L;70417;348439;14,2811092311128;48,2703248031685
173;012;Corylus;colurna; -;Baumhasel;12;5;120;L;70412;348436;14,2810448761702;48,2702941882025
173;013;Betula;utilis; -;Himalaja-Birke;10;5;100;L;70408;348434;14,2809887491353;48,2702748783103
25;021;Aesculus;hippocastanum; -;Gemeine Rosskastanie;18;9;245;L;70395;351645;14,2813495539433;48,2991511923315
25;022;Aesculus;hippocastanum; -;Gemeine Rosskastanie;6;2;35;L;70390;351636;14,2812806776005;48,2990708195341
105;001;Quercus;cerris; -;Zerr-Eiche;10;5;120;L;71247;349954;14,2925452166852;48,2838510531086
105;002;Quercus;cerris; -;Zerr-Eiche;10;7;100;L;71252;349955;14,2926157382380;48,2838604662973
105;003a;Quercus;cerris; -;Zerr-Eiche;8;6;80;L;71261;349957;14,2927365803242;48,2838764719928
105;004;Carpinus;betulus; -;Hainbuche;8;5;80;L;71268;349958;14,2928290596071;48,2838876047651
105;006;Betula;utilis; -;Himalaja-Birke;8;5;70;L;71286;349962;14,2930776139015;48,2839216927858
105;007;Betula;utilis; -;Himalaja-Birke;8;4;60;L;71291;349965;14,2931452648214;48,2839447972908
105;008;Betula;utilis; -;Himalaja-Birke;7;4;50;L;71296;349965;14,2932135437852;48,2839407442429
105;019;Tilia;cordata; -;Winter-Linde;10;5;70;L;71435;349995;14,2950855147950;48,2842017606203
105;009;Carpinus;betulus; -;Hainbuche;8;5;60;L;71325;349972;14,2936067899127;48,2840035963330
105;011;Betula;utilis; -;Himalaja-Birke;10;6;60;L;71346;349976;14,2938870296127;48,2840368703105
105;013;Betula;utilis; -;Himalaja-Birke;8;5;40;L;71383;349984;14,2943847551438;48,2841055667221
105;015;Populus;nigra; -;Schwarz-Pappel;16;6;110;L;71409;349990;14,2947383309298;48,2841543377516
105;016;Populus;nigra; -;Schwarz-Pappel;16;7;100;L;71414;349991;14,2948057948395;48,2841622498528
105;018;Tilia;cordata; -;Winter-Linde;8;6;100;L;71430;349994;14,2950196439768;48,2841902067216
105;023;Acer;platanoides; -;Spitz-Ahorn;4;1;20;L;71466;350002;14,2955083661906;48,2842606758516
105;024;Betula;pendula; -;Weiﬂ-Birke;10;4;90;L;71471;350003;14,2955795085164;48,2842707031494
105;025;Aesculus;hippocastanum; -;Gemeine Rosskastanie;10;5;120;L;71484;350007;14,2957426732698;48,2843010065329
105;028a;Fraxinus;excelsior; -;Gemeine Esche;8;5;50;L;71547;350021;14,2966004759557;48,2844198312389
105;030;Tilia;cordata; -;Winter-Linde;7;4;40;L;71568;350025;14,2968840737910;48,2844534351147
105;031;Fraxinus;excelsior; -;Gemeine Esche;8;5;110;L;71572;350027;14,2969398748448;48,2844664771544
105;032;Betula;pendula; -;Weiﬂ-Birke;12;5;70;L;71592;350031;14,2972036012157;48,2845039987488
105;035;Tilia;cordata; -;Winter-Linde;10;5;80;L;71619;350038;14,2975753555626;48,2845679388688
105;036;Betula;pendula; -;Weiﬂ-Birke;10;5;70;L;71643;350042;14,2978932774932;48,2845937081342
105;037;Acer;platanoides; -;Spitz-Ahorn;4;1;20;L;71661;350048;14,2981432807220;48,2846468563012
105;038;Acer;platanoides; -;Spitz-Ahorn;10;5;70;L;71659;350057;14,2981129579245;48,2847334731491
105;041;Aesculus;hippocastanum; -;Gemeine Rosskastanie;10;5;70;L;71516;350025;14,2961900363218;48,2844579514577
105;043;Aesculus;hippocastanum; -;Gemeine Rosskastanie;10;5;70;L;71501;350021;14,2959769047719;48,2844288997262
105;045;Aesculus;hippocastanum; -;Gemeine Rosskastanie;10;5;70;L;71487;350018;14,2957960376605;48,2844039946890
105;046;Fraxinus;excelsior; -;Gemeine Esche;10;5;70;L;71481;350016;14,2957039838240;48,2843854082154
105;047;Fraxinus;excelsior; -;Gemeine Esche;10;5;70;L;71475;350014;14,2956263272406;48,2843679198232
105;048;Fraxinus;excelsior; -;Gemeine Esche;10;5;70;L;71470;350013;14,2955673057500;48,2843523211118
105;050;Tilia;cordata; -;Winter-Linde;10;5;70;L;71391;349996;14,2944944315821;48,2842146238446
105;051;Quercus;robur; -;Stiel-Eiche;20;8;300;L;71374;349993;14,2942690466654;48,2841915889186
105;053;Aesculus;sp.; -;Kastanie;10;5;90;L;71339;349985;14,2937910594746;48,2841181410205
105;054;Carpinus;betulus; -;Hainbuche;8;3;50;L;71331;349984;14,2936791571274;48,2841093326298
173;014;Betula;utilis; -;Himalaja-Birke;10;5;70;L;70402;348431;14,2809106990610;48,2702505516385
173;016;Betula;utilis; -;Himalaja-Birke;10;5;100;L;70392;348426;14,2807793123891;48,2702075571199
173;018;Corylus;colurna; -;Baumhasel;8;5;70;L;70379;348417;14,2805927701558;48,2701311245088
173;019;Corylus;colurna; -;Baumhasel;10;5;100;L;70373;348414;14,2805172849015;48,2701008981005
173;020;Corylus;colurna; -;Baumhasel;10;5;100;L;70364;348408;14,2803893091452;48,2700495469945
173;021;Corylus;colurna; -;Baumhasel;8;4;60;L;70358;348404;14,2803077775004;48,2700111988862
173;022;Tilia;cordata; -;Winter-Linde;10;5;100;L;70352;348401;14,2802362225355;48,2699823569269
105;057;Carpinus;betulus; -;Hainbuche;7;3;50;L;71264;349969;14,2927818781435;48,2839843019116
105;058;Carpinus;betulus; -;Hainbuche;8;3;50;L;71255;349967;14,2926524900811;48,2839685731077
105;061;Quercus;cerris; -;Zerr-Eiche;10;6;100;L;71236;349962;14,2924020266223;48,2839285335479
425;013;Prunus;serrulata; -;Japanische Bl¸ten-Kirsche;3;1;15;L;70881;346635;14,2870676463588;48,2540523509031
1284;010;Prunus;persica;Kernechter vom Vorgebirge;Pfirsich - Kernechter vom Vorgebirge;2;1;7;L;70381;352704;14,2813358803847;48,3086790430854
802;031;Corylus;colurna; -;Baumhasel;5;1;50;L;70456;351648;14,2821721169986;48,2991714081656
802;032;Corylus;colurna; -;Baumhasel;6;2;45;L;70449;351660;14,2820815138098;48,2992766944191
802;033;Corylus;colurna; -;Baumhasel;5;1;40;L;70466;351660;14,2823088758796;48,2992782015701
802;034;Corylus;colurna; -;Baumhasel;6;1;40;L;70464;351671;14,2822837508088;48,2993773335944
802;035;Corylus;colurna; -;Baumhasel;6;1;40;L;70478;351649;14,2824687655986;48,2991779606412
