Flaeche;BaumNr;Gattung;Art;Sorte;NameDeutsch;Hoehe;Schirmdurchmesser;Stammumfang;Typ;XPos;YPos;lon;lat
141;126;Betula;pendula; -;Weiﬂ-Birke;9;4;50;L;72141;349842;14,3045727177346;48,2827431774583
558;005;Quercus;robur; -;Stiel-Eiche;16;15;205;L;71121;353581;14,2914624078764;48,3164821095878
344;013;Tilia;cordata; -;Winter-Linde;15;12;217;L;71948;352006;14,3023396762822;48,3022233033994
1397;001;Aesculus;hippocastanum; -;Gemeine Rosskastanie;8;6;75;L;71507;352841;14,2965381241362;48,3097791133472
1397;004;Aesculus;hippocastanum; -;Gemeine Rosskastanie;9;5;61;L;71531;352876;14,2968649898383;48,3100958719370
422;005;Tilia;platyphyllos; -;Sommer-Linde;14;13;140;L;71436;346183;14,2944595468281;48,2499215518481
422;006;Tilia;cordata; -;Winter-Linde;13;11;140;L;71436;346179;14,2944588747403;48,2498855842946
1145;001a;Carpinus;betulus;Fastigiata;S‰ulen-Hainbuche;6;2;35;L;71672;353014;14,2987890759198;48,3113162645880
422;015;Acer;campestre; -;Feld-Ahorn;10;7;131;L;71455;346155;14,2947148418052;48,2496720028555
787;009;Robinia;pseudoacacia; -;Robinie;13;10;148;L;71615;352829;14,2979864346168;48,3096652512134
117;011;Fraxinus;excelsior; -;Gemeine Esche;14;10;104;L;73168;351987;14,3187755099003;48,3019115635437
685;027;Juglans;regia; -;Walnuss;9;8;120;L;72083;355530;14,3047651283141;48,3338928120481
422;051;Betula;utilis; -;Himalaja-Birke;12;11;130;L;71503;346121;14,2953511727862;48,2493565327882
117;040;Juglans;regia; -;Walnuss;7;7;46;L;73156;352011;14,3186163437822;48,3021286964703
422;155;Tilia;sp.;-;Linde;14;14;170;L;71478;346204;14,2950285434778;48,2501056669501
117;041;Pinus;sp.; -;Kiefer / Fˆhre;13;5;109;N;73150;352012;14,3185363183312;48,3021400876694
117;042;Acer;sp.; -;Ahorn;10;7;49;L;73147;352008;14,3185027067546;48,3021076572854
622;010;Tilia;sp.;-;Linde;12;8;124;L;72473;355056;14,3099341485106;48,3295845471898
117;109;Carpinus;betulus; -;Hainbuche;13;7;90;L;73038;351978;14,3170262334705;48,3018484278835
622;028a;Abies;nordmanniana; -;Nordmannstanne;13;7;150;N;72420;355062;14,3092238531627;48,3296509829650
338;055;Crataegus;sp.; -;Weiﬂdorn;5;3;30;L;72883;350926;14,3147564897018;48,2924085295856
338;140;Crataegus;sp.; -;Weiﬂdorn;6;4;44;L;72433;351304;14,3087606358745;48,2958539035543
608;086a;Picea;sp.; -;Fichte;15;5;89;N;70472;354921;14,2829359354343;48,3286000529708
1190;016;Robinia;sp.; -;Robinie;10;6;87;L;76383;347164;14,3612386719706;48,2581679845827
728;029;Carpinus;betulus; -;Hainbuche;9;5;199;L;72098;350298;14,3040708971441;48,2868483193089
289;009a;Chamaecyparis;nootkatensis;Pendula;Nootka H‰nge-Zypresse;3;2;25;N;72947;346664;14,3148799601027;48,2540756722305
893;999FL;Alnus;sp.; -;Erle;10;0;0;L;71781;355405;14,3006663832804;48,3328057185821
7;174;Fraxinus;excelsior; -;Gemeine Esche;25;20;250;L;73291;355834;14,3211054939848;48,3364895960518
7;176;Fraxinus;excelsior; -;Gemeine Esche;25;20;250;L;73302;355828;14,3212429466253;48,3364322291510
7;177;Platanus;hispanica;  -;Ahornbl‰ttrige-Platane;30;10;254;L;73304;355835;14,3212774275709;48,3364975628457
7;197;Quercus;robur; -;Stiel-Eiche;30;8;283;L;73347;355869;14,3218632260381;48,3367983114769
535;046;Quercus;robur; -;Stiel-Eiche;25;5;110;L;70232;354546;14,2796324960639;48,3252502485732
232;551;Acer;pseudoplatanus; -;Berg-Ahorn;17;6;115;L;73096;356063;14,3185152093934;48,3385706825387
