Bezeichnung;Klassen;Schüler;Schülerinnen
Allgemeine Sonderschule 2, Diesterwegschule (Khevenhüllerstraße 3);12;52;35
Allgemeine Sonderschule 4, Karlhofschule (Teistlergutstraße 23);13;76;27
Allgemeine Sonderschule 6, Neue Heimat (Flötzerweg 61a);15;64;43
Landesschulzentrum für Hör- und Sehbildung, Michael Reitter Landesschule (Kapuzinerstraße 40a);22;115;106
Heilstättenschule (Willingerstraße 22);16;63;38
