Anlage;Name;Bereich;Bezirksnummer;Bezirksname;Stadtteil;Art;URL;Koordinaten;Straße;Postleitzahl;Ort;Koordinate Nord;Koordinate Ost;Google-Maps Link
Sportanlage;Streetballanlage Mittelgasse;Mittelgasse;2;Urfahr;Urfahr;Streetball;;POINT (14.277083 48.308083);;;;48 308 083;14 277 083;https://www.google.at/maps/place/48.308083,14.277083
Sportanlage;Streetballanlage Pollheimerstraße;Pollheimerstraße;10;Bindermichl-Keferfeld;Keferfeld/Oed;Streetball;;POINT (14.279373 48.276959);Pollheimerstraße 11;4020;Linz;48 276 959;14 279 373;https://www.google.at/maps/place/48.276959,14.279373
Sportanlage;Streetballanlage Schiffbaustraße;Schiffbaustraße;6;Kaplanhof;Zentrum;Streetball;;POINT (14.307316 48.317542);Schiffbaustraße 7;4020;Linz;48 317 542;14 307 316;https://www.google.at/maps/place/48.317542,14.307316
Sportanlage;Streetballanlage Stadtpark;Stadtpark;1;Innere Stadt;Zentrum;Streetball;;POINT (14.297447 48.306172);;;;48 306 172;14 297 447;https://www.google.at/maps/place/48.306172,14.297447
Sportanlage;Streetballanlage Straßlandweg;Straßlandweg;13;Kleinmünchen-Auwiesen;Auwiesen/Kleinmünchen ;Streetball;;POINT (14.313274 48.255717);Straßlandweg 24;4030;Linz;48 255 717;14 313 274;https://www.google.at/maps/place/48.255717,14.313274
Sportanlage;Fun Court Diesterwegschule;Diesterwegschule;6;Kaplanhof;Zentrum;Fun Court;;POINT (14.304129 48.302046);;;;48 302 046;14 304 129;https://www.google.at/maps/place/48.302046,14.304129
Sportanlage;Fun Court Dr. Karl Renner Schule;Dr. Karl Renner Schule;12;Neue Heimat;Neue Heimat;Fun Court;;POINT (14.294927 48.250421);Flötzerweg 88;4030;Linz;48 251 323;14 296 168;https://www.google.at/maps/place/48.251323,14.296168
Sportanlage;Fun Court ASKÖ Linz Urfahr;ASKÖ Linz Urfahr;2;Urfahr;Urfahr;Fun Court;;POINT (14.277273 48.322152);Hölderlinstraße 26;4040;Linz;48 322 152;14 277 273;https://www.google.at/maps/place/48.322152,14.277273
Sportanlage;Fun Court ASKÖ Steigerstraße;ASKÖ Steigerstraße;13;Kleinmünchen-Auwiesen;Auwiesen/Kleinmünchen ;Fun Court;;POINT (14.309731 48.251412);;;;48 251 412;14 309 731;https://www.google.at/maps/place/48.251412,14.309731
Sportanlage;Fun Court Neue Mittelschule Ebelsberg;Neue Mittelschule Ebelsberg;15;Ebelsberg;Ebelsberg/Pichling ;Fun Court;;POINT (14.328626999999999 48.246718);Ebelsberger Schloßweg 7;4030;Linz;48 246 839;14 333 679;https://www.google.at/maps/place/48.246839,14.333679
Sportanlage;Fun Court Parkanlage Oed;Parkanlage Oed;10;Bindermichl-Keferfeld;Keferfeld/Oed;Fun Court;;POINT (14.286927 48.261954);;;;48 261 854;14 287 112;https://www.google.at/maps/place/48.261854,14.287112
Sportanlage;Fun Court Schiltenberg;Schiltenberg;15;Ebelsberg;Ebelsberg/Pichling ;Fun Court;;POINT (14.342247 48.244306);;;;48 244 306;14 342 247;https://www.google.at/maps/place/48.244306,14.342247
Sportanlage;Fun Court Spallerhof /Einfaltstraße;Einfaltstraße;11;Spallerhof;Bindermichl/Spallerhof ;Fun Court;;POINT (14.307453 48.270497);;;;48 270 497;14 307 453;https://www.google.at/maps/place/48.270497,14.307453
Sportanlage;Fun Court Löwenfeldschule/Zeppelinschule Denkstraße;Löwenfeldschule;13;Kleinmünchen-Auwiesen;Auwiesen/Kleinmünchen ;Fun Court;;POINT (14.314862 48.254957);Franz-Kurz-Straße 4;4030;Linz;48 254 785;14 316 291;https://www.google.at/maps/place/48.254785,14.316291
Sportanlage;Fun-Court Karl-Steiger-Straße;Karl-Steiger-Sstraße;13;Kleinmünchen-Auwiesen;Auwiesen/Kleinmünchen ;Fun Court;;;;;;48 251 350;14 309 700;https://www.google.at/maps/place/48.251350,14.309700
Sportanlage;Fun-Court NIKE-Platz Auwiesen;Sportpark Auwiesen;13;Kleinmünchen-Auwiesen;Auwiesen/Kleinmünchen ;Fun Court;;;;;;48 244 352;14 301 910;https://www.google.at/maps/place/48.244352,14.301910
Sportanlage;Fun-Court Linz AG Ebelsberg;Hartheimerstraße ;15;Ebelsberg;Ebelsberg/Pichling ;Fun Court;;;;;;48 241 180;14 329 601;https://www.google.at/maps/place/48.241180,14.329601
Sportanlage;Fun-Court Schiffmannstraße;Schiffmannstraße;10;Bindermichl-Keferfeld;Keferfeld/Oed;Fun Court;;;;;;48 267 133;14 280 283;https://www.google.at/maps/place/48.267133,14.280283
Sportanlage;Fun-Court ASKÖ Zöhrdorf;ASKÖ Zöhrdorf;12;Neue Heimat;Neue Heimat;Fun Court;;;;;;48 242 652;14 286 441;https://www.google.at/maps/place/48.242652,14.286441
Sportanlage;Fun-Curt Bachlbergweg;Bachlbergweg;2;Urfahr;Urfahr;Fun Court;;;;;;48 324 242;14 275 918;https://www.google.at/maps/place/48.324242,14.275918
Spielanlage;Kinder- und Jugendspielplatz Güntherstraße;Güntherstraße;2;Urfahr;Urfahr;Kinder- und Jugendspielplatz (6 - 18 Jahre);https://www.linz.at/soziales/5725.php;POINT (14.276684 48.312994);Güntherstraße 1;4040;Linz;48 312 894;14 276 430;https://www.google.at/maps/place/48.312894,14.276430
Spielanlage;Kinderspielplatz Kubinweg;Kubinweg;2;Urfahr;Urfahr;Kinder- und Jugendspielplatz (6 - 18 Jahre);https://www.linz.at/soziales/5818.php;POINT (14.280382 48.323396);;;;48 323 396;14 280 382;https://www.google.at/maps/place/48.323396,14.280382
Spielanlage;Kinder- und Jugendspielplatz Mittelgasse;Mittelgasse;2;Urfahr;Urfahr;Kinder- und Jugendspielplatz (6 - 18 Jahre);https://www.linz.at/soziales/5713.php;POINT (14.276861 48.307956);;;;48 308 076;14 277 313;https://www.google.at/maps/place/48.308076,14.277313
Spielanlage;Jugendspielplatz Pöstlingberg Waldspielplatz;Pöstlingberg;3;Pöstlingberg;Urfahr;Jugendspielplatz (12 - 18 Jahre);https://www.linz.at/soziales/5701.php;POINT (14.257311 48.322773);;;;48 322 773;14 257 311;https://www.google.at/maps/place/48.322773,14.257311
Spielanlage;Jugendspielplatz Riesenedergründe;Riesenedergründe;3;Pöstlingberg;Urfahr;Jugendspielplatz (12 - 18 Jahre);https://www.linz.at/soziales/5698.php;POINT (14.269956 48.313678);;;;48 314 068;14 269 900;https://www.google.at/maps/place/48.314068,14.269900
Spielanlage;Kinder- und Jugendspielplatz Samhaberstraße;Samhaberstraße;3;Pöstlingberg;Urfahr;Kinder- und Jugendspielplatz (6 - 18 Jahre);https://www.linz.at/soziales/5707.php;POINT (14.258734 48.326899);;;;48 326 899;14 258 734;https://www.google.at/maps/place/48.326899,14.258734
Spielanlage;Kinderspielplatz Steinmetzplatzl;Steinmetzplatzl;2;Urfahr;Urfahr;Kinderspielplatz (0 - 6 Jahre);https://www.linz.at/soziales/5806.php;POINT (14.278336 48.307495);;;;48 308 122;14 278 920;https://www.google.at/maps/place/48.308122,14.278920
Spielanlage;Kinderspielplatz Wildbergstraße;Wildbergstraße;2;Urfahr;Urfahr;Kinderspielplatz (0 - 6 Jahre);https://www.linz.at/soziales/72926.php;;;;;48 316 768;14 283 554;https://www.google.at/maps/place/48.316768,14.283554
Spielanlage;Kinder- und Jugendspielplatz - Am Alten Feldweg;Am Alten Feldweg;2;Urfahr;Urfahr;Kinder- und Jugendspielplatz (6 - 18 Jahre);https://www.linz.at/soziales/5803.php;POINT (14.281087 48.332383);;;;48 332 383;14 281 087;https://www.google.at/maps/place/48.332383,14.281087
Spielanlage;Kinder- und Jugendspielplatz - Enzmüllnerweg;Enzmüllnerweg;3;Pöstlingberg;Urfahr;Kinder- und Jugendspielplatz (6 - 18 Jahre);https://www.linz.at/soziales/5728.php;POINT (14.291563 48.337243);;;;48 337 243;14 291 563;https://www.google.at/maps/place/48.337243,14.291563
Spielanlage;Kinder- und Jugendspielplatz Harbachpark;Harbachpark;2;Urfahr;Urfahr;Kinder- und Jugendspielplatz (6 - 18 Jahre);https://www.linz.at/soziales/5719.php;POINT (14.285492 48.329919);;;;48 330 299;14 285 256;https://www.google.at/maps/place/48.330299,14.285256
Spielanlage;Jugendspielplatz Jugendspielwiese Am Damm;Heinrich-Gleißner-Promenade;2;Urfahr;Urfahr;Jugendspielplatz (12 - 18 Jahre);https://www.linz.at/soziales/5704.php;POINT (14.295688 48.319852);;;;48 319 852;14 295 688;https://www.google.at/maps/place/48.319852,14.295688
